Municipios;ID_Provincia_tabla;Mail_Institucional
JOSE CLEMENTE PAZ;2;licenciasdeconducir@gob.gba.gov.ar
JUNIN;2;licenciasdeconducir@gob.gba.gov.ar
LA PLATA;2;licenciasdeconducir@gob.gba.gov.ar
LANUS;2;licenciasdeconducir@gob.gba.gov.ar
LAPRIDA;2;licenciasdeconducir@gob.gba.gov.ar
LAS FLORES;2;licenciasdeconducir@gob.gba.gov.ar
LAS TONINAS;2;licenciasdeconducir@gob.gba.gov.ar
LEANDRO N ALEM;2;licenciasdeconducir@gob.gba.gov.ar
LEZAMA;2;licenciasdeconducir@gob.gba.gov.ar
LINCOLN;2;licenciasdeconducir@gob.gba.gov.ar
LOBERIA;2;licenciasdeconducir@gob.gba.gov.ar
LOBOS;2;licenciasdeconducir@gob.gba.gov.ar
LOMAS DE ZAMORA;2;licenciasdeconducir@gob.gba.gov.ar
LUJAN;2;licenciasdeconducir@gob.gba.gov.ar
MAGDALENA;2;licenciasdeconducir@gob.gba.gov.ar
MAIPU BA;2;licenciasdeconducir@gob.gba.gov.ar
MAR CHIQUITA;2;licenciasdeconducir@gob.gba.gov.ar
MAR DEL PLATA;2;licenciasdeconducir@gob.gba.gov.ar
MARCOS PAZ;2;licenciasdeconducir@gob.gba.gov.ar
MERCEDES;2;licenciasdeconducir@gob.gba.gov.ar
MERLO;2;licenciasdeconducir@gob.gba.gov.ar
MONTE GRANDE;2;licenciasdeconducir@gob.gba.gov.ar
MONTE HERMOSO;2;licenciasdeconducir@gob.gba.gov.ar
MORENO;2;licenciasdeconducir@gob.gba.gov.ar
MORON;2;licenciasdeconducir@gob.gba.gov.ar
NAVARRO;2;licenciasdeconducir@gob.gba.gov.ar
NECOCHEA;2;licenciasdeconducir@gob.gba.gov.ar
NORBERTO DE LA RIESTRA;2;licenciasdeconducir@gob.gba.gov.ar
OLAVARRIA;2;licenciasdeconducir@gob.gba.gov.ar
PEDRO LURO;2;licenciasdeconducir@gob.gba.gov.ar
PEHUAJO;2;licenciasdeconducir@gob.gba.gov.ar
PELLEGRINI;2;licenciasdeconducir@gob.gba.gov.ar
PERGAMINO;2;licenciasdeconducir@gob.gba.gov.ar
PILA;2;licenciasdeconducir@gob.gba.gov.ar
PILAR;2;licenciasdeconducir@gob.gba.gov.ar
PINAMAR;2;licenciasdeconducir@gob.gba.gov.ar
PUAN;2;licenciasdeconducir@gob.gba.gov.ar
PUNTA INDIO;2;licenciasdeconducir@gob.gba.gov.ar
QUILMES;2;licenciasdeconducir@gob.gba.gov.ar
RAMALLO;2;licenciasdeconducir@gob.gba.gov.ar
RAMOS MEJIA;2;licenciasdeconducir@gob.gba.gov.ar
RAUCH;2;licenciasdeconducir@gob.gba.gov.ar
RIVADAVIA;2;licenciasdeconducir@gob.gba.gov.ar
ROJAS;2;licenciasdeconducir@gob.gba.gov.ar
ROQUE PEREZ;2;licenciasdeconducir@gob.gba.gov.ar
SAAVEDRA;2;licenciasdeconducir@gob.gba.gov.ar
SALADILLO;2;licenciasdeconducir@gob.gba.gov.ar
SALLIQUELO;2;licenciasdeconducir@gob.gba.gov.ar
SALTO;2;licenciasdeconducir@gob.gba.gov.ar
SAN ANDRES DE GILES;2;licenciasdeconducir@gob.gba.gov.ar
SAN ANTONIO DE ARECO;2;licenciasdeconducir@gob.gba.gov.ar
SAN CAYETANO;2;licenciasdeconducir@gob.gba.gov.ar
SAN FERNANDO;2;licenciasdeconducir@gob.gba.gov.ar
SAN ISIDRO;2;licenciasdeconducir@gob.gba.gov.ar
SAN JUSTO;2;licenciasdeconducir@gob.gba.gov.ar
SAN MIGUEL;2;licenciasdeconducir@gob.gba.gov.ar
SAN MIGUEL DEL MONTE;2;licenciasdeconducir@gob.gba.gov.ar
SAN NICOLAS DE LOS ARROYOS;2;licenciasdeconducir@gob.gba.gov.ar
SAN PEDRO - BUENOS AIRES;2;licenciasdeconducir@gob.gba.gov.ar
SAN ROQUE;2;licenciasdeconducir@gob.gba.gov.ar
SAN VICENTE;2;licenciasdeconducir@gob.gba.gov.ar
SANTA CLARA DEL MAR;2;licenciasdeconducir@gob.gba.gov.ar
STROEDER;2;licenciasdeconducir@gob.gba.gov.ar
SUIPACHA;2;licenciasdeconducir@gob.gba.gov.ar
TANDIL;2;licenciasdeconducir@gob.gba.gov.ar
TAPALQUE;2;licenciasdeconducir@gob.gba.gov.ar
TIGRE;2;licenciasdeconducir@gob.gba.gov.ar
TORDILLO;2;licenciasdeconducir@gob.gba.gov.ar
TORNQUIST;2;licenciasdeconducir@gob.gba.gov.ar
TRENQUE LAUQUEN;2;licenciasdeconducir@gob.gba.gov.ar
TRES ARROYOS;2;licenciasdeconducir@gob.gba.gov.ar
TRES DE FEBRERO;2;licenciasdeconducir@gob.gba.gov.ar
TRES LOMAS;2;licenciasdeconducir@gob.gba.gov.ar
VICENTE LOPEZ;2;licenciasdeconducir@gob.gba.gov.ar
VILLA GESELL;2;licenciasdeconducir@gob.gba.gov.ar
VILLALONGA;2;licenciasdeconducir@gob.gba.gov.ar
VILLANUEVA;2;licenciasdeconducir@gob.gba.gov.ar
ZARATE;2;licenciasdeconducir@gob.gba.gov.ar
CAPITAL;3;sfvcatamarca.catamarca@sinalic.gob.ar
HUILLAPIMA;3;huillapima.catamarca@sinalic.gob.ar
LOS ALTOS;3;
POMAN;3;poman.catamarca@sinalic.gob.ar
RECREO;3;recreo.catamarca@sinalic.gob.ar
FONTANA;4;fontana.chaco@sinalic.gob.ar
RESISTENCIA;4;resistencia.chaco@sinalic.gob.ar
VILLA ANGELA;4;villaangela.chaco@sinalic.gob.ar
CHOLILA;5;cholila.chubut@sinalic.gob.ar
COMODORO RIVADAVIA - Viamonte;5;comodororivadavia.viamonte.chubut@sinalic.gob.ar
COMODORO RIVADAVIA;5;comodororivadavia.chubut@sinalic.gob.ar
EL HOYO;5;elhoyo.chubut@sinalic.gob.ar
EL MAITEN;5;elmaiten.chubut@sinalic.gob.ar
ESQUEL;5;esquel.chubut@sinalic.gob.ar
GAIMAN;5;gaiman.chubut@sinalic.gob.ar
PUERTO MADRYN;5;puertomadryn.chubut@sinalic.gob.ar
RADA TILLY;5;radatilly.chubut@sinalic.gob.ar
RAWSON;5;rawson.chubut@sinalic.gob.ar
TRELEW;5;trelew.chubut@sinalic.gob.ar
TREVELIN;5;trevelin.chubut@sinalic.gob.ar
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1001) C.A.B.A.;1;
(1039) C.A.B.A.;1;
(1139) C.A.B.A.;1;
(1425) C.A.B.A.;1;
ALEJANDRO ROCA;6;alejandroroca.cordoba@sinalic.gob.ar
ALTO ALEGRE;6;altoalegre.cordoba@sinalic.gob.ar
ANISACATE;6;anisacate.cordoba@sinalic.gob.ar
BELL VILLE;6;bellville.cordoba@sinalic.gob.ar
CAVANAGH;6;
COLONIA BISMARCK;6;coloniabismarck.cordoba@sinalic.gob.ar
CORDOBA;6;cordoba.cordoba@sinalic.gob.ar
COR-CPC N° 12 CEN. CULT. SAN VICENTE;6;cpc12.cordoba@sinalic.gob.ar
COR-CPC N° 6 VILLA EL LIBERTADOR;6;cpc6.cordoba@sinalic.gob.ar
COR-CPC N° 10 MER. DE LA CIUDAD;6;cpc10.cordoba@sinalic.gob.ar
COR-CPC N°11 GUIÑAZU;6;cpc11.cordoba@sinalic.gob.ar
COR-CPC N° 9 RANCAGUA;6;cpc9.cordoba@sinalic.gob.ar
COR-CPC13CHALET SAN FELIPE;6;cpc13.cordoba@sinalic.gob.ar
COR-CPC N° 2 MONSEÑOR;6;"cpc2.cordoba@sinalic.gob.ar
cpc2.cordoba@sinalic.gob.ar"
COR-CPC N°7 EMPALME;6;cpc7.cordoba@sinalic.gob.ar
CORDOBA - CPC5;6;cpc5.cordoba@sinalic.gob.ar
COR-CPC N°3 ARGÜELLO;6;cpc3.cordoba@sinalic.gob.ar
COR-CPC N° 8 PUEYRREDON;6;cpc8.cordoba@sinalic.gob.ar
COR-CPC N°1 CENTRO AMERICA;6;cpc1.cordoba@sinalic.gob.ar
COR-CPC N°4 COLON;6;cpc4colon.cordoba@sinalic.gob.ar
CORRAL DE BUSTOS IFFLINGER;6;corraldebustos.cordoba@sinalic.gob.ar
DALMACIO VÉLEZ SARSFIELD;6;dalmaciovelezsarfield.cordoba@sinalic.gob.ar
ETRURIA;6;etruria.cordoba@sinalic.gob.ar
GENERAL LEVALLE;6;generallevalle.cordoba@sinalic.gob.ar
IDIAZABAL;6;isiazabal.cordoba@sinalic.gob.ar
JUSTINIANO POSSE;6;justinianoposee.cordoba@sinalic.gob.ar
LA FALDA;6;lafalda.cordoba@sinalic.gob.ar
LABOULAYE;6;laboulaye.cordoba@sinalic.gob.ar
LAS ACEQUIAS;6;lasacequias.cordoba@sinalic.gob.ar
LOS CISNES;6;loscisnes.cordoba@sinalic.gob.ar
LUYABA;6;luyaba.cordoba@sinalic.gob.ar
MARCOS JUAREZ;6;marcosjuarez.cordoba@sinalic.gob.ar
MONTE BUEY;6;montebuey.cordoba@sinalic.gob.ar
MONTE MAIZ;6;montemaiz.cordoba@sinalic.gob.ar
MORRISON;6;morrison.cordoba@sinalic.gob.ar
NOETINGER;6;noetinger.cordoba@sinalic.gob.ar
OLIVA;6;oliva.cordoba@sinalic.gob.ar
PAMPAYASTA SUD;6;pampayastasud.cordoba@sinalic.gob.ar
PASCANAS;6;pascanas.cordoba@sinalic.gob.ar
PUEBLO ITALIANO;6;puebloitaliano.cordoba@sinalic.gob.ar
RIO DE LOS SAUCES;6;riodelossauces.cordoba@sinalic.gob.ar
RIO PRIMERO;6;rioprimero.cordoba@sinalic.gob.ar
SAN ANTONIO DE ARREDONDO;6;sanantoniodearredondo.cordoba@sinalic.gob.ar
SAN MARCOS SUD;6;sanmarcossud.cordoba@sinalic.gob.ar
UCACHA;6;ucacha.cordoba@sinalic.gob.ar
UCACHA;6;ucacha.cordoba@sinalic.gob.ar
VALLE HERMOSO;6;vallehermoso.cordoba@sinalic.gob.ar
VILLA ALLENDE;6;villaallende.cordoba@sinalic.gob.ar
VILLA CARLOS PAZ;6;villacarlospaz.cordoba@sinalic.gob.ar
VILLA MARIA;6;villamaria.cordoba@sinalic.gob.ar
WENCESLAO ESCALANTE;6;wenceslaoescalante.cordoba@sinalic.gob.ar
BELLA VISTA;7;bellavista.corrientes@sinalic.gob.ar
BERON DE ASTRADA;7;berondeastrada.corrientes@sinalic.gob.ar
CORRIENTES;7;corrientes.corrientes@sinalic.gob.ar
CORRIENTES;7;corrientes.corrientes@sinalic.gob.ar
CURUZÚ CUATIÁ;7;curuzucuatia.corrientes@sinalic.gob.ar
ESQUINA;7;esquina.corrientes@sinalic.gob.ar
GOBERNADOR VIRASORO;7;gobernadorvirasoro.corrientes@sinalic.gob.ar
GOYA;7;goya.corrientes@sinalic.gob.ar
ITUZAINGO;7;ituzaingo.corrientes@sinalic.gob.ar
LA CRUZ;7;lacruz.corrientes@sinalic.gob.ar
MERCEDES;7;mercedes.corrientes@sinalic.gob.ar
PASO DE LOS LIBRES;7;pasodeloslibres.corrientes@sinalic.gob.ar
RAMADA PASO;7;ramadapaso.corrientes@sinalic.gob.ar
SALADAS;7;saladas.corrientes@sinalic.gob.ar
SAN LUIS DEL PALMAR;7;sanluisdelpalmar.corrientes@sinalic.gob.ar
SAN ROQUE;7;sanroque.corrientes@sinalic.gob.ar
SANTA LUCIA;7;santalucia.corrientes@sinalic.gob.ar
SANTO TOME;7;santotome.corrientes@sinalic.gob.ar
ALDEA SAN ANTONIO;8;aldeasanantonio.entrerios@sinalic.gob.ar
ALDEA VALLE MARIA;8;aldeavallemaria.entrerios@sinalic.gob.ar
BASAVILBASO;8;basavilbaso.entrerios@sinalic.gob.ar
CASEROS;8;caseros.entrerios@sinalic.gob.ar
CERRITO;8;cerrito.entrerios@sinalic.gob.ar
CHAJARI;8;chajari.entrerios@sinalic.gob.ar
COLONIA AVELLANEDA;8;coloniaavellaneda.entrerios@sinalic.gob.ar
CONCEPCION DEL URUGUAY;8;concepciondeluruguay.entrerios@sinalic.gob.ar
CONCORDIA;8;concordia.entrerios@sinalic.gob.ar
CRESPO;8;crespo.entrerios@sinalic.gob.ar
DIAMANTE;8;diamante.entrerios@sinalic.gob.ar
ENRIQUE CARBO;8;enriquecarbo.entrerios@sinalic.gob.ar
ESTANCIA GRANDE;8;estanciagrande.entrerios@sinalic.gob.ar
GENERAL CAMPOS;8;generalcampos.entrerios@sinalic.gob.ar
GOBERNADOR MACIA;8;gobernadormacia.entrerios@sinalic.gob.ar
GRAL. GALARZA;8;gral.galarza.entrerios@sinalic.gob.ar
GUALEGUAY;8;gualeguay.entrerios@sinalic.gob.ar
GUALEGUAYCHU;8;gualeguaychu.entrerios@sinalic.gob.ar
HERNANDARIAS;8;hernandarias.entrerios@sinalic.gob.ar
HERRERA;8;herrera.entrerios@sinalic.gob.ar
LA PAZ;8;lapaz.entrerios@sinalic.gob.ar
LIBERTADOR SAN MARTIN;8;libertadorsanmartin.entrerios@sinalic.gob.ar
LOS CHARRUAS;8;loscharruas.entrerios@sinalic.gob.ar
LOS CONQUISTADORES;8;losconquistadores.entrerios@sinalic.gob.ar
NOGOYA;8;nogoya.entrerios@sinalic.gob.ar
ORO VERDE;8;oroverde.entrerios@sinalic.gob.ar
PARANA;8;parana.entrerios@sinalic.gob.ar
PRIMERO DE MAYO;8;primerodemayo.entrerios@sinalic.gob.ar
PUEBLO GENERAL BELGRANO;8;pueblogralbelgrano.entrerios@sinalic.gob.ar
PUERTO YERUA;8;puertoyerua.entrerios@sinalic.gob.ar
RAMIREZ;8;ramirez.entrerios@sinalic.gob.ar
SAN BENITO;8;sanbenito.entrerios@sinalic.gob.ar
SAN JAIME DE LA FRONTERA;8;sanjaimedelafrontera.entrerios@sinalic.gob.ar
SAN JOSE;8;sanjose.entrerios@sinalic.gob.ar
SAN SALVADOR;8;sansalvador.entrerios@sinalic.gob.ar
SANTA ANA;8;santaana.entrerios@sinalic.gob.ar
SANTA ROSA DE VILLAGUAY;8;santarosadevillaguay.entrerios@sinalic.gob.ar
SAUCE DE LUNA;8;saucedeluna.entrerios@sinalic.gob.ar
URDINARRAIN;8;urdinarrain.entrerios@sinalic.gob.ar
VIALE;8;viale.entrerios@sinalic.gob.ar
VICTORIA;8;victoria.entrerios@sinalic.gob.ar
VILLA CLARA;8;villaclara.entrerios@sinalic.gob.ar
VILLA DEL ROSARIO;8;villadelrosario.entrerios@sinalic.gob.ar
VILLA MANTERO;8;villamantero.entrerios@sinalic.gob.ar
FORMOSA;9;formosa.formosa@sinalic.gob.ar
EL CARMEN;10;elcarmen.jujuy@sinalic.gob.ar
FRAILE PINTADO;10;frailepintado.jujuy@sinalic.gob.ar
HUMAHUACA;10;humahuaca.jujuy@sinalic.gob.ar
LA QUIACA;10;laquiaca.jujuy@sinalic.gob.ar
LIBERTADOR GRAL SAN MARTIN;10;libertadorgralsanmartin.jujuy@sinalic.gob.ar
MONTERRICO;10;monterrico.jujuy@sinalic.gob.ar
PALPALA;10;palpala.jujuy@sinalic.gob.ar
PERICO;10;perico.jujuy@sinalic.gob.ar
PERICO;10;perico.jujuy@sinalic.gob.ar
SAN PEDRO;10;sanpedro.jujuy@sinalic.gob.ar
SAN SALVADOR DE JUJUY;10;sansalvadordejujuy.jujuy@sinalic.gob.ar
YUTO;10;yuto.jujuy@sinalic.gob.ar
GENERAL ACHA;11;generalacha.lapampa@sinalic.gob.ar
GENERAL PICO;11;generalpico.lapampa@sinalic.gob.ar
RANCUL;11;rancul.lapampa@sinalic.gob.ar
REALICO;11;realico.lapampa@sinalic.gob.ar
SANTA ROSA LP;11;santarosa.lapampa@sinalic.gob.ar
WINIFREDA;11;winifreda.lapampa@sinalic.gob.ar
ARAUCO;12;arauco.larioja@sinalic.gob.ar
CHEPES;12;chepes.larioja@sinalic.gob.ar
CHILECITO;12;chilecito.larioja@sinalic.gob.ar
GENERAL SAN MARTIN;12;ulapes.larioja@sinalic.gob.ar
LA RIOJA - CeparNorte;12;ceparnorte.larioja@sinalic.gob.ar
LA RIOJA - CeparSur;12;ceparsur.larioja@sinalic.gob.ar
SAN BLAS DE LOS SAUCES;12;sanblasdelossauces.larioja@sinalic.gob.ar
VILLA CASTELLI;12;villacastelli.larioja@sinalic.gob.ar
VILLA SANAGASTA;12;villasanagasta.larioja@sinalic.gob.ar
VILLA UNION;12;villaunion.larioja@sinalic.gob.ar
GENERAL ALVEAR;13;generalalvear.mendoza@sinalic.gob.ar
GODOY CRUZ;13;godoycruz.mendoza@sinalic.gob.ar
GUAYMALLEN;13;guaymallen.mendoza@sinalic.gob.ar
JUNIN;13;junin.mendoza@sinalic.gob.ar
LA PAZ;13;lapaz.mendoza@sinalic.gob.ar
LAS HERAS;13;lasheras.mendoza@sinalic.gob.ar
LAVALLE VILLA TULUMAYA;13;lavallevillatulumaya.mendoza@sinalic.gob.ar
LUJAN DE CUYO;13;lujandecuyo.mendoza@sinalic.gob.ar
MAIPU;13;maipu.mendoza@sinalic.gob.ar
MALARGUE;13;malargue.mendoza@sinalic.gob.ar
MENDOZA;13;mendoza.mendoza@sinalic.gob.ar
RIVADAVIA;13;rivadavia.mendoza@sinalic.gob.ar
SAN CARLOS;13;sancarlos.mendoza@sinalic.gob.ar
SAN MARTIN;13;sanmartin.mendoza@sinalic.gob.ar
SAN RAFAEL;13;sanrafael.mendoza@sinalic.gob.ar
SANTA ROSA;13;santarosa.mendoza@sinalic.gob.ar
TUNUYAN;13;tunuyan.mendoza@sinalic.gob.ar
TUPUNGATO;13;tupungato.mendoza@sinalic.gob.ar
USPALLATA;13;uspallata.mendoza@sinalic.gob.ar
2 DE MAYO;14;2demayo.misiones@sinalic.gob.ar
25 DE MAYO;14;25demayo.misiones@sinalic.gob.ar
ARISTOBULO DEL VALLE;14;aristobulodelvalle.misiones@sinalic.gob.ar
BERNARDO DE IRIGOYEN;14;bernardodeirigoyen.misiones@sinalic.gob.ar
CAMPO VIERA;14;campoviera.misiones@sinalic.gob.ar
CERRO AZUL;14;cerroazul.misiones@sinalic.gob.ar
COLONIA WANDA;14;coloniawanda.misiones@sinalic.gob.ar
DOS ARROYOS;14;dosarroyos.misiones@sinalic.gob.ar
ELDORADO;14;eldorado.misiones@sinalic.gob.ar
JARDIN AMERICA;14;jardinamerica.misiones@sinalic.gob.ar
MONTECARLO;14;montecarlo.misiones@sinalic.gob.ar
OBERA;14;obera.misiones@sinalic.gob.ar
POSADAS;14;posadas.misiones@sinalic.gob.ar
PUERTO ESPERANZA;14;puertoesperanza.misiones@sinalic.gob.ar
PUERTO RICO;14;puertorico.misiones@sinalic.gob.ar
SAN VICENTE;14;sanvicente.misiones@sinalic.gob.ar
SANTA ANA;14;santaana.misiones@sinalic.gob.ar
CENTENARIO;15;centenario.neuquen@sinalic.gob.ar
CHOS MALAL;15;chosmalal.neuquen@sinalic.gob.ar
EL HUECU;15;elhuecu.neuquen@sinalic.gob.ar
JUNIN DE LOS ANDES;15;junindelosandes.neuquen@sinalic.gob.ar
NEUQUÉN - Santa Teresa;15;santateresa.neuquen@sinalic.gob.ar
NEUQUÉN - Alta Barda;15;altabarda.neuquen@sinalic.gob.ar
NEUQUÉN - Progreso;15;progreso.neuquen@sinalic.gob.ar
NEUQUÉN - Eton;15;eton.neuquen@sinalic.gob.ar
NEUQUÉN - Alto Godoy;15;altogodoy.neuquen@sinalic.gob.ar
PLAZA HUINCUL;15;plazahuincul.neuquen@sinalic.gob.ar
PLOTTIER;15;plottier.neuquen@sinalic.gob.ar
SAN MARTIN DE LOS ANDES;15;sanmartindelosandes.neuquen@sinalic.gob.ar
SAN PATRICIO DEL CHAÑAR;15;sanpatriciodelchanar.neuquen@sinalic.gob.ar
SENILLOSA;15;senillosa.neuquen@sinalic.gob.ar
VILLA LA ANGOSTURA;15;villalaangostura.neuquen@sinalic.gob.ar
ALLEN;16;allen.rionegro@sinalic.gob.ar
SAN CARLOS DE BARILOCHE;16;bariloche.rionegro@sinalic.gob.ar
CATRIEL;16;catriel.rionegro@sinalic.gob.ar
CHICHINALES;16;chichinales.rionegro@sinalic.gob.ar
CHIMPAY;16;chimpay.rionegro@sinalic.gob.ar
CHOELE CHOEL;16;choelechoel.rionegro@sinalic.gob.ar
CINCO SALTOS;16;cincosaltos.rionegro@sinalic.gob.ar
CIPOLLETTI;16;cipolletti.rionegro@sinalic.gob.ar
CORONEL BELISLE;16;coronelbelisle.rionegro@sinalic.gob.ar
DARWIN;16;darwin.rionegro@sinalic.gob.ar
DINA HUAPI;16;dinahuapi.rionegro@sinalic.gob.ar
EL BOLSON;16;elbolson.rionegro@sinalic.gob.ar
GENERAL CONESA;16;generalconesa.rionegro@sinalic.gob.ar
GENERAL ENRIQUE GODOY;16;generalenriquegodoy.rionegro@sinalic.gob.ar
INGENIERO HUERGO;16;ingenierohuergo.rionegro@sinalic.gob.ar
INGENIERO JACOBACCI;16;ingenierojacobacci.rionegro@sinalic.gob.ar
LAMARQUE;16;lamarque.rionegro@sinalic.gob.ar
LAS GRUTAS;16;lasgrutas.rionegro@sinalic.gob.ar
LUIS BELTRAN;16;luisbeltran.rionegro@sinalic.gob.ar
MAINQUE;16;mainque.rionegro@sinalic.gob.ar
MINISTRO RAMOS MEXIA;16;ramosmexia.rionegro@sinalic.gob.ar
RIO COLORADO;16;riocolorado.rionegro@sinalic.gob.ar
SAN ANTONIO OESTE;16;sanantoniooeste.rionegro@sinalic.gob.ar
SIERRA COLORADA;16;sierracolorada.rionegro@sinalic.gob.ar
SIERRA GRANDE;16;sierragrande.rionegro@sinalic.gob.ar
VIEDMA;16;viedma.rionegro@sinalic.gob.ar
AGUARAY;17;aguaray.salta@sinalic.gob.ar
APOLINARIO SARAVIA;17;apolinariosaravia.salta@sinalic.gob.ar
CACHI;17;cachi.salta@sinalic.gob.ar
CAFAYATE;17;cafayate.salta@sinalic.gob.ar
CALDERA;17;caldera.salta@sinalic.gob.ar
CAMPO SANTO;17;camposanto.salta@sinalic.gob.ar
CHICOANA;17;chicoana.salta@sinalic.gob.ar
CORONEL MOLDES;17;coronelmoldes.salta@sinalic.gob.ar
EL GALPON;17;elgalpon.salta@sinalic.gob.ar
EL QUEBRACHAL;17;elquebrachal.salta@sinalic.gob.ar
GENERAL GUEMES;17;generalguemes.salta@sinalic.gob.ar
GENERAL MOSCONI;17;generalmosconi.salta@sinalic.gob.ar
JOAQUIN V. GONZÁLEZ;17;joaquinv.gonzalez.salta@sinalic.gob.ar
LA MERCED;17;lamerced.salta@sinalic.gob.ar
LAS LAJITAS;17;laslajitas.salta@sinalic.gob.ar
MOLINOS;17;molinos.salta@sinalic.gob.ar
PAYOGASTA;17;payogasta.salta@sinalic.gob.ar
ROSARIO DE LA FRONTERA;17;rosariodelafrontera.salta@sinalic.gob.ar
ROSARIO DE LERMA;17;rosariodelerma.salta@sinalic.gob.ar
